Interval=	0,01 s
ExcelDateTime=	4,2528612356187317e+004	07.06.2016 14:41:47,574584
TimeFormat=	StartOfBlock
DateFormat=	
ChannelTitle=	Channel 2
Range=	20,000 mV
13,11	-1,069
13,12	-1,086
13,13	-1,067
13,14	-1,063
13,15	-1,066
13,16	-1,003
13,17	-0,950
13,18	-0,989
13,19	-1,031
13,2	-1,000
13,21	-0,890
13,22	-0,787
13,23	-0,798
13,24	-0,856
13,25	-0,849
13,26	-0,813
13,27	-0,792
13,28	-0,774
13,29	-0,754
13,3	-0,747
13,31	-0,758
13,32	-0,774
13,33	-0,776
13,34	-0,782
13,35	-0,819
13,36	-0,831
13,37	-0,753
13,38	-0,614
13,39	-0,451
13,4	-0,186
13,41	0,230
13,42	0,704
13,43	1,136
13,44	1,491
13,45	1,764
13,46	1,883
13,47	1,789
13,48	1,554
13,49	1,262
13,5	0,938
13,51	0,583
13,52	0,211
13,53	-0,143
13,54	-0,463
13,55	-0,753
13,56	-0,986
13,57	-1,115
13,58	-1,154
13,59	-1,173
13,6	-1,198
13,61	-1,213
13,62	-1,207
13,63	-1,204
13,64	-1,231
13,65	-1,264
13,66	-1,284
13,67	-1,281
13,68	-1,226
13,69	-1,109
13,7	-0,978
13,71	-0,852
13,72	-0,715
13,73	-0,582
13,74	-0,469
13,75	-0,342
13,76	-0,182
13,77	-0,087
13,78	-0,139
13,79	-0,236
13,8	-0,265
13,81	-0,281
13,82	-0,389
13,83	-0,555
13,84	-0,684
13,85	-0,768
13,86	-0,846
13,87	-0,919
13,88	-0,955
13,89	-0,984
13,9	-1,031
13,91	-1,073
13,92	-1,104
13,93	-1,127
13,94	-1,120
13,95	-1,071
13,96	-1,012
13,97	-0,998
13,98	-1,025
13,99	-1,033
14	-1,003
14,01	-0,961
14,02	-0,912
14,03	-0,860
14,04	-0,839
14,05	-0,861
14,06	-0,889
14,07	-0,882
14,08	-0,858
14,09	-0,859
14,1	-0,871
14,11	-0,844
14,12	-0,754
14,13	-0,596
14,14	-0,386
14,15	-0,143
14,16	0,162
14,17	0,551
14,18	0,973
14,19	1,334
14,2	1,583
14,21	1,703
14,22	1,660
14,23	1,443
14,24	1,098
14,25	0,714
14,26	0,361
14,27	0,049
14,28	-0,252
14,29	-0,556
14,3	-0,829
14,31	-1,026
14,32	-1,119
14,33	-1,146
14,34	-1,194
14,35	-1,283
14,36	-1,359
14,37	-1,394
14,38	-1,401
14,39	-1,398
14,4	-1,387
14,41	-1,364
14,42	-1,321
14,43	-1,243
14,44	-1,123
14,45	-0,973
14,46	-0,823
14,47	-0,669
14,48	-0,489
14,49	-0,334
14,5	-0,276
14,51	-0,255
14,52	-0,198
14,53	-0,156
14,54	-0,198
14,55	-0,300
14,56	-0,411
14,57	-0,519
14,58	-0,635
14,59	-0,738
14,6	-0,791
14,61	-0,816
14,62	-0,888
14,63	-1,021
14,64	-1,136
14,65	-1,169
14,66	-1,133
14,67	-1,068
14,68	-1,021
14,69	-1,028
14,7	-1,068
14,71	-1,114
14,72	-1,119
14,73	-1,051
14,74	-0,968
14,75	-0,950
14,76	-0,979
14,77	-0,979
14,78	-0,933
14,79	-0,882
14,8	-0,866
14,81	-0,886
14,82	-0,921
14,83	-0,921
14,84	-0,863
14,85	-0,805
14,86	-0,801
14,87	-0,811
14,88	-0,743
14,89	-0,554
14,9	-0,284
14,91	0,057
14,92	0,491
14,93	0,954
14,94	1,347
14,95	1,666
14,96	1,891
14,97	1,945
14,98	1,803
14,99	1,499
15	1,107
15,01	0,704
15,02	0,335
15,03	0,001
15,04	-0,314
15,05	-0,602
15,06	-0,849
15,07	-1,044
15,08	-1,169
15,09	-1,224
15,1	-1,240
15,11	-1,256
15,12	-1,286
15,13	-1,307
15,14	-1,299
15,15	-1,299
15,16	-1,339
15,17	-1,377
15,18	-1,340
15,19	-1,222
