Interval=	0,01 s
ExcelDateTime=	4,1795673598807873e+004	05.06.2014 16:09:58,937
TimeFormat=	StartOfBlock
ChannelTitle=	Channel 1
Range=	20,000 mV
11,21	4,921
11,22	4,982
11,23	5,039
11,24	5,094
11,25	5,147
11,26	5,200
11,27	5,251
11,28	5,299
11,29	5,344
11,3	5,389
11,31	5,433
11,32	5,476
11,33	5,518
11,34	5,566
11,35	5,621
11,36	5,675
11,37	5,731
11,38	5,789
11,39	5,843
11,4	5,893
11,41	5,949
11,42	6,008
11,43	6,061
11,44	6,112
11,45	6,160
11,46	6,205
11,47	6,247
11,48	6,291
11,49	6,339
11,5	6,388
11,51	6,434
11,52	6,478
11,53	6,522
11,54	6,566
11,55	6,612
11,56	6,659
11,57	6,709
11,58	6,761
11,59	6,810
11,6	6,856
11,61	6,901
11,62	6,946
11,63	6,993
11,64	7,039
11,65	7,086
11,66	7,138
11,67	7,186
11,68	7,235
11,69	7,285
11,7	7,330
11,71	7,371
11,72	7,413
11,73	7,455
11,74	7,496
11,75	7,536
11,76	7,574
11,77	7,615
11,78	7,660
11,79	7,706
11,8	7,753
11,81	7,797
11,82	7,836
11,83	7,869
11,84	7,896
11,85	7,917
11,86	7,933
11,87	7,943
11,88	7,947
11,89	7,946
11,9	7,941
11,91	7,933
11,92	7,919
11,93	7,901
11,94	7,881
11,95	7,857
11,96	7,829
11,97	7,796
11,98	7,761
11,99	7,723
12,0	7,683
12,01	7,641
12,02	7,600
12,03	7,559
12,04	7,517
12,05	7,476
12,06	7,435
12,07	7,394
12,08	7,353
12,09	7,311
12,1	7,269
12,11	7,228
12,12	7,184
12,13	7,141
12,14	7,097
12,15	7,052
12,16	7,008
12,17	6,961
12,18	6,915
12,19	6,876
12,2	6,834
12,21	6,786
12,22	6,742
12,23	6,702
12,24	6,658
12,25	6,608
12,26	6,553
12,27	6,494
12,28	6,430
12,29	6,362
12,3	6,293
12,31	6,216
12,32	6,125
12,33	6,019
12,34	5,903
12,35	5,785
12,36	5,667
